---,Name,ShortDesc,LongDesc,Icon,ItemClass,BuildingClass,VisualObject,ActionBlueprint_Use,MaxStackSize,EquipLocation,GUICategory,ArmourValue,SoundPhysicalSurface,WeaponType,WeaponArcheType,CompatableAmmunitions,WeaponStaminaAttackSingleBasic,WeaponStaminaAttackSingleSpecial,WeaponStaminaAttackDualBasic,WeaponStaminaAttackDualSpecial,WeaponStaminaHeavyChargedRegenModifier,WeaponSpeedHeavyChargedModifier,EncumbranceWeight,ConeAngle,ConeMaxDistance,DamageHealthLight_OnHit,DamageHealthHeavy_OnHit,DamageStaminaLight_OnHit,DamageStaminaHeavy_OnHit,DamageHealthLight_OnBlock,DamageHealthHeavy_OnBlock,DamageStaminaLight_OnBlock,DamageStaminaHeavy_OnBlock,HarvestDamage,WeaponUsage,MaxAttackReach,MinAttackReach,MinAttackDistance,WeaponEffectWidth,WeaponEffectHeight,ItemTier,ArmorPen,DamageConcussiveLightOnHit,DamageConcussiveHeavyOnHit,DamageConcussiveLightOnBlock,DamageConcussiveHeavyOnBlock,DamageTier,KnockbackOffenseBasic,KnockbackOffenseSpecial,KnockbackDefense,VisualStaticMesh,VisualSkeletalMesh,VisualDestructibleMesh,WeaponStatusDefault,WeaponStatusCurrent,WeaponStatusDecrement,PerishRate,PerishTo,MaxDurability,RepairItem1,RepairItem1_Amount,RepairItem1_Weight,RepairItem2,RepairItem2_Amount,RepairItem2_Weight,RepairItem3,RepairItem3_Amount,RepairItem3_Weight,AffectedByDamageTiers,BuildingPieceScore,BuildingMaxHealth,FirstModifier,SecondModifier,ThirdModifier,FourthModifier,FoodAmount,DrinkAmount,BurnTime,ItemFlags,ItemContainerSize,AvatarType,DyeColourID
10001,"NSLOCTEXT("""", ""4A5D01B348ADD452DADBC0AF53267733"", ""Stone"")","NSLOCTEXT("""", ""E407C4E949B83809C6E77E90BAF60C62"", ""Roughly hewn chunk of stone"")","NSLOCTEXT("""", ""F64031D248C2DE0C6CA0BE9147081226"", ""Most humble of materials and most common, stone is the building block of civilization. From the primitive weapons of Picts to the marble sheathed palaces of Aquilonian Kings, stone is the foundation upon which all is predicated.\r\nEven the elder races, who vanished from the earth without a trace, left behind great ruined cities of brooding stone to mark their passing."")","/Game/UI/Textures/Icons/icon_stone-1.icon_stone-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","1","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""C833C4C6499FDCF80FE24698D258F3F7"", ""Low Grade"")","","NSLOCTEXT("""", ""06568D88462CC9F13EB18CB2AD9A9C96"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
10005,"NSLOCTEXT("""", ""174866DB41B1C0DE0D02BB85ED54ED50"", ""Bark"")","NSLOCTEXT("""", ""B36F6D5444938709F32CF6B4A0B9A904"", ""Strip of bark torn from a tree"")","NSLOCTEXT("""", ""CE6BBBF34E1BC71351FEA697BA2AD92F"", ""Strip of bark torn from a tree. Use for tanning leather and as a meagre fuel source. A byproduct of using bark in the tanning process is Tar.\nThe leatherworkers of Kordava are renowned for their supple and pliant leather. Their process for tanning, and the bark that they use, is a well-guarded secret.\nTeas brewed from the bark of certain trees are rumoured to cure many different kinds of ailment.\n"")","/Game/UI/Textures/Icons/icon_bark-1.icon_bark-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""D487DB92458A2C6D1F7E8CA97DB66611"", ""Low Grade"")","NSLOCTEXT("""", ""7943E358441B0E6F2E6B5EA7E3A0BBEE"", ""Combustible "")","","","0","0","24.000000","1","0","None","-1"
10011,"NSLOCTEXT("""", ""C6A546F44685B75961148D9F32EE9A05"", ""Wood"")","NSLOCTEXT("""", ""91F8E69B47196A50B6B62DB74A3DCB25"", ""A log hewn from a tree"")","NSLOCTEXT("""", ""2B2A03014296060E3C1752A994EFF676"", ""Wood is an abundant source of fuel and building material.\nReadily available and easily shaped with the right tools, wood is ubiquitous in the weapons and buildings of primitive tribes and mighty nations.  \nWood allows for the creation of fire and its easy transport."")","/Game/UI/Textures/Icons/icon_wood-1.icon_wood-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""9B23F1F8471146E32FB92387C4604D01"", ""Low Grade"")","NSLOCTEXT("""", ""10DD77D74224BB23438E58BF648AABD6"", ""Combustible "")","NSLOCTEXT("""", ""BFE110454EBA23144BC569BA3F32972E"", ""Ingredient"")","","0","0","16.000000","1","0","None","-1"
10012,"NSLOCTEXT("""", ""9C307C3E412E14535BC111B1AF91B268"", ""Branch"")","NSLOCTEXT("""", ""B832E0894AFDEE424E2AEA8AF7CF583F"", ""A sturdy branch fallen from a tree"")","NSLOCTEXT("""", ""D1096A504F4EE20FC5FE5D99FABB336C"", ""Branches can be used to create rudimentary weapons and tools, which can then be used to shape wood for more beneficial purposes"")","/Game/UI/Textures/Icons/icon_branch.icon_branch","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""A45EC8284F45E1605048ABBD6E5DE299"", ""Low Grade"")","NSLOCTEXT("""", ""413323F24B81108533CFF9B37628DBD3"", ""Combustible "")","NSLOCTEXT("""", ""0532FAB547D5249BC8D52AB813981E54"", ""Ingredient"")","","0","0","16.000000","1","0","None","-1"
10021,"NSLOCTEXT("""", ""990B2CC2421D05935D01AE80ABAAB698"", ""Bone"")","NSLOCTEXT("""", ""DBDD081C4616AE7AA088A9A27F27036F"", ""Bones and bone fragments from animals and humans"")","NSLOCTEXT("""", ""81DCC2F34A12D950B5756183C0DD2E43"", ""Used by shamans and witch doctors for rituals and ceremonial gear, bone is a staple of crafting primitive equipment. \nThe people of Darfar are known for ritual cannibalism as a part of their worship of Yog. They use the remains of their victims to craft horrifying weapons and armours.\nBone is not particularly durable and will shatter easily upon iron or steel.\n"")","/Game/UI/Textures/Icons/icon_bone-1.icon_bone-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""FE27642940EF965601C1B9A48E56AD9A"", ""Low Grade"")","","NSLOCTEXT("""", ""3932BE2A46A104300DC64BB7559493F7"", ""Ingredient"")","","0","0","50.000000","1","0","None","-1"
10022,"NSLOCTEXT("""", ""5053E8C34F2E57CD6B2E89B8E20E16AC"", ""Undead Dragonbone"")","NSLOCTEXT("""", ""7544506F4C084D7133AE7C8761ABEA38"", ""Bones taken from a dragon raised to life through terrible ritual"")","NSLOCTEXT("""", ""90B942364B16648B2CE6D89DBCAE38C2"", ""<span style=\""italic\"">And their magicians made a terrible magic to guard the city; for by their necromantic arts they re-created the dragons which had once dwelt in this lost land, and whose monstrous bones they found in the forest. Those bones they clothed in flesh and life, and the living beasts walked the earth as they walked it when time was young.</> - Red Nails\nThrough the long passage of eons, rumors of dragons have always been passed down from generation to generation, and the legacy of these fearsome creatures grows with each telling.\nThe sad reality of dragons was that they could not fly, they did not breathe fire or acid, and they were not particularly intelligent. They were simply gigantic predators that lived centuries ago.\nThrough their arts, the Giant-kings resurrected dragons from the bones that they could find. They kept them as pets and bred them for battle in their gladiatorial games. \nTheir bones are particularly strong and can be worked into powerful weapons. </>"")","/Game/UI/Textures/Icons/icon_undead_dragonbone.icon_undead_dragonbone","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""0CF20B494ECB57B041DB99BE882BD979"", ""Low Grade"")","","NSLOCTEXT("""", ""2AC4577F4C193F63B300D6876DF111CE"", ""Ingredient"")","","0","0","0.000000","5","0","None","-1"
10023,"NSLOCTEXT("""", ""7EEAFBD64C4FC1F7341553A531E9F55C"", ""Undead Dragonhorn"")","NSLOCTEXT("""", ""E892BCAB4D20E5B422266B9116836A27"", ""Horn taken from a dragon raised to life through terrible ritual"")","NSLOCTEXT("""", ""1E7A6EF24F394D1259FC0282E99A5F50"", ""<span style=\""italic\"">And their magicians made a terrible magic to guard the city; for by their necromantic arts they re-created the dragons which had once dwelt in this lost land, and whose monstrous bones they found in the forest. Those bones they clothed in flesh and life, and the living beasts walked the earth as they walked it when time was young.</> - Red Nails\nThrough the long passage of eons, rumors of dragons have always been passed down from generation to generation, and the legacy of these fearsome creatures grows with each telling.\nThe sad reality of dragons was that they could not fly, they did not breathe fire or acid, and they were not particularly intelligent. They were simply gigantic predators that lived centuries ago.\nThrough their arts, the Giant-kings resurrected dragons from the bones that they could find. They kept them as pets and bred them for battle in their gladiatorial games. \nTheir horns are particularly strong and can be worked into powerful weapons.</>\n"")","/Game/UI/Textures/Icons/icon_undead_dragonhorn.icon_undead_dragonhorn","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""9BE151EB4C111D0A07D9E2A919965BE5"", ""Low Grade"")","","NSLOCTEXT("""", ""0AAF3C5F453F94C82B48488B97FDE945"", ""Ingredient"")","","0","0","0.000000","5","0","None","-1"
11001,"NSLOCTEXT("""", ""22B8BC92403F395D21460B9176553760"", ""Ironstone"")","NSLOCTEXT("""", ""E375DF114948CA7AA8435DB3331D9309"", ""Greyish chunk of stone that can be smelted to obtain iron"")","NSLOCTEXT("""", ""0B489680492C59BB14C4AF9C16BEBB5B"", ""Run through with metallic veins, this ore can be treated in a furnace to create Iron bars.\nIronstone can be strengthened with additional catalysts during the smelting process. Alchemists guard the secrets of their catalysts jealously, so experimentation with a cauldron is required."")","/Game/UI/Textures/Icons/icon_iron_ore-1.icon_iron_ore-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""75088D3047992A2DEA6CFFB2EE238540"", ""Low Grade"")","NSLOCTEXT("""", ""18EF8F4747FE7AD4991A61A4CDB78970"", ""Meltable"")","NSLOCTEXT("""", ""BF8012604DF91D23CCFCAC888BDB5EE4"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
11011,"NSLOCTEXT("""", ""0C706CE649E9EA2F35058F9E4426768D"", ""Coal"")","NSLOCTEXT("""", ""901F3CB746AC2BB8575FCE9BE5D9AE79"", ""The glowing heart of the forge"")","NSLOCTEXT("""", ""57112E4E472175938E0AC691CAC3E76D"", ""Coal is a versatile, long lasting fuel. Serious smithing requires a supply of coal to reach the high temperatures for smelting workable metals.\nCoal is required for the process of transforming iron into the steel.\nHarlots and nobles often use charcoal to whiten their teeth and healers often keep a small supply handy as a simple remedy for stomach ailments.\n"")","/Game/UI/Textures/Icons/icon_coal.icon_coal","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","8","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""AFC751914523A7AF316B09A6C1E32449"", ""Mid Grade"")","NSLOCTEXT("""", ""B4AE076F4BE872E2ABA257812997CB48"", ""Combustible"")","","","0","0","32.000000","1","0","None","-1"
11051,"NSLOCTEXT("""", ""1C9FCBD841B1F2B75B4DCCAE2E1F7FC9"", ""Crystal"")","NSLOCTEXT("""", ""19EAF89147201FF92CD1B2BCB170FC99"", ""Transparent, shimmering stone"")","NSLOCTEXT("""", ""61E602D643154534F78357ABA856E1D8"", ""Brittle, impossible to work with conventional tools, crystal is mostly used for focusing light and creating rudimentary lenses.\nThe Black Seers of Mount Yimsha craft great lenses to aid in their astrological divinations. Black sorceries gain potency when the heavens are in certain configurations."")","/Game/UI/Textures/Icons/icon_crystal.icon_crystal","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""C0C33B2840E076B7D664F4A6D2941647"", ""High Grade"")","","NSLOCTEXT("""", ""68B723A14A138649975498ABDD4A3D10"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
