---,RecipeName,ShortDesc,LongDesc,RecipeType,TimeToCraft,Tier,CraftXP,CraftingStations,RequiredFuel,Icon,BuildingModule,DestroyStationOnComplete,Ingredient1ID,Ingredient1Quantity,Ingredient2ID,Ingredient2Quantity,Ingredient3ID,Ingredient3Quantity,Ingredient4ID,Ingredient4Quantity,Result1ID,Result1Quantity,Result2ID,Result2Quantity,ThrallRecipeFeatRequirement,IsThrallMachineRecipe,IsRecipeEnabled
11501,"NSLOCTEXT("""", ""624E26BE4BDD94829B46188DE9BAD0D1"", ""Iron Bar"")","NSLOCTEXT("""", ""956F7D0548EEA2D3BDA4CBABFBACF373"", ""Basic iron ingot for crude metalworking"")","NSLOCTEXT("""", ""31CB039F4C23DF9A38C6C59132291B81"", ""The ability to work iron is a step along the road from savagery to civilization. The streets of the great cities of the world resound with the ring of hammer on anvil a song to the march of progress.\nIron weapons and armor offer superior protection, but the additional weight means carrying less supplies.\nIron can be treated with Steelfire in a Furnace to produce steel."")","Material","10.000000","2","7","89101","0","/Game/UI/Textures/Icons/icon_iron_bar.icon_iron_bar","None","False","11001","2","0","0","0","0","0","0","11501","1","0","0","0","False","True"
11502,"NSLOCTEXT("""", ""8F3FAB7D493E4DB0B4C38B89F5514F0C"", ""Steel Bar"")","NSLOCTEXT("""", ""33122EE54AB9D73531612AB9DC0B58E0"", ""An alloy that is stronger and less brittle than iron"")","NSLOCTEXT("""", ""2F7982E34B3389D64FCFE995EEB3BFC6"", ""Barring some enchantment, steel is the strongest metal alloy available for the construction of weapons. The crafting of steel requires iron and Steelfire, a peculiar additive made from Tar and Brimstone.\nThe smiths of Akbitana in Shem are the finest in the world and a weapon made of Akbitanan steel is considered to be unbreakable. Due to their great demand, it is rare to find a Akbitanan weapon outside of Shem."")","Material","20.000000","3","218","89101","0","/Game/UI/Textures/Icons/icon_steel_bar.icon_steel_bar","None","False","11501","5","14173","1","0","0","0","0","11502","1","0","0","0","False","True"
11551,"NSLOCTEXT("""", ""312AF31B45207E0FAD0B649B0A175D5C"", ""Glass"")","NSLOCTEXT("""", ""6358D372412544B3AE7EEFADAB51FE9D"", ""Brittle and breakable, glass is best used for ornamentation"")","NSLOCTEXT("""", ""3485E7B742640892B9D00BB7B6C84780"", ""Only the wealthy can afford to ornament their houses in glass, even though creating glass is a simple process. Glass offers protection from the elements and a view of what is occurring outside, at the risk of being easily shattered."")","Material","10.000000","3","5","89101","0","/Game/UI/Textures/Icons/icon_glass.icon_glass","None","False","11051","2","0","0","0","0","0","0","11551","1","0","0","0","False","True"
12511,"NSLOCTEXT("""", ""A0F798114CB50990B0A468A711F2EFF8"", ""Leather"")","NSLOCTEXT("""", ""0A1F3E95496546E59B40DCBA97F1B241"", ""Tanned hide that is commonly used for lightweight armors"")","NSLOCTEXT("""", ""1401E26F4C7167EE742736B855A38319"", ""Supple material that offers enhanced protection. Leather can be stiff and difficult to work if it has not been correctly treated, but there is a fine line between softening the leather too far and having it lose its protective properties.\nLeather will help to stop the claws and fangs of a beast, but a determined foe will be able to break through the material.\nUsed to create armors at an Armorers Bench\n"")","Material","20.000000","2","14","89104","10005","/Game/UI/Textures/Icons/icon_leather.icon_leather","None","False","12011","3","0","0","0","0","0","0","12511","1","14172","1","0","False","True"
12512,"NSLOCTEXT("""", ""98BDF55E4D9EF5C1D883C9A699916B1D"", ""Thick Leather"")","NSLOCTEXT("""", ""4E4BF7E4423430A53AD41DA32F764649"", ""Offers a higher degree of protection than regular leather"")","NSLOCTEXT("""", ""30EF21524F35886454F533BD5081C9E2"", ""Offering better protection than regular leather, but at the cost of flexibility.\nThickened leather requires regular oiling to prevent it from becoming inflexible and preventing movement.\nKordavan leather is famed for its pliability and durability, but to learn the secret of its durability would require access to the tanneries of the Zingaran capital.\n"")","Material","60.000000","2","3","89104","10005","/Game/UI/Textures/Icons/icon_leather_thick.icon_leather_thick","None","False","12012","1","0","0","0","0","0","0","12512","1","14172","1","0","False","True"
12513,"NSLOCTEXT("""", ""DEA4E6BA49C9DF7CB6DB29974972750E"", ""Silk"")","NSLOCTEXT("""", ""8EB6E6DE4191C68496E50DAB53B5A292"", ""A strong, light thread spun from gossamer"")","NSLOCTEXT("""", ""399217E84B190333F5B1F58C476BF361"", ""Silk is a valuable commodity in the Hyborian kingdoms and it flows from Khitai in the east and Stygia in the south. Khitan silk is drawn from silkworms whereas Stygian silk is harvested from the giant spiders that inhabit the dark reaches of the southern lands.\nKhitan silk is prized for the clinging, sensual fabric that it creates. It is very tolerant of dyes and holds brilliant color. Any nobleman of note has at least one outfit of Khitan silk.\nStygian silk is stronger and more durable, offering greater protection at the cost of a coarser weave. Dyes tend to fade quickly but the tenacity of the fabric makes it a favorite among the merchant class."")","Material","20.000000","2","3","0","0","/Game/UI/Textures/Icons/icon_silk.icon_silk","None","False","12003","2","0","0","0","0","0","0","12513","1","0","0","0","False","True"
13501,"NSLOCTEXT("""", ""B8327387469B9F701D46FA86F58C7884"", ""Shredded Roast"")","NSLOCTEXT("""", ""8A602A11439FC3874E0C27813C6FE102"", ""Cooked scraps of feral meat"")","NSLOCTEXT("""", ""8345395042959D4A5CE1C98391580A7C"", ""Tough, chewy meat that spoils quickly. Preferential to scavenged foods or raw meat, this gamy meat is hard on the teeth and the palate.\nThe taverns of the great cities are known using this type of meat for stewing though in Shadizar it is more likely to be cat or rat scraps that find their way into the pot.\n"")","Consumable","15.000000","1","2","89001","0","/Game/UI/Textures/Icons/icon_shredded_meat_roast.icon_shredded_meat_roast","None","False","13001","1","0","0","0","0","0","0","13501","1","0","0","0","False","True"
13505,"NSLOCTEXT("""", ""92C04B484686C632CDE4158F7AA0DA08"", ""Grilled Steak"")","NSLOCTEXT("""", ""041B08BD4C53A7E2B14223BF1A2B5C8B"", ""Cooked slab of succulent meat"")","NSLOCTEXT("""", ""1B027AA5461C6DCCA707E2AD69F75CD6"", ""Juicy with the blood and fat of the kill, this universally life sustaining meal could as easily be found around the campfires of hunters from Vanaheim to the southern Black Kingdoms.\nFlavorful and filling, the only downside is the relative ease with which the meat becomes spoiled.\n"")","Consumable","30.000000","2","2","89001","0","/Game/UI/Textures/Icons/icon_grilled_steak.icon_grilled_steak","None","False","13002","1","0","0","0","0","0","0","13502","1","0","0","0","False","True"
13509,"NSLOCTEXT("""", ""82B69CE64052F866EDF513ACC952ADFB"", ""Roasted Haunch"")","NSLOCTEXT("""", ""E93ADA2A445AF911362BCC830188C1BA"", ""A cooked haunch of exotic meat "")","NSLOCTEXT("""", ""E277B8CC49B75C6733B78CBABBA77A9D"", ""Taken from one of the more unusual beasts of the Exiled Lands, this mouth-watering meat is the height of culinary grace in this savage land.\nIn the great palaces of the Hyborian kingdoms noblemen hold lavish feasts where the reek of intrigue and exotic meats fill the smoky air. The quests that their servants undertake - and the dangers that they face - to obtain the near-mythical fare is the stuff of epicurean legend.\n"")","Consumable","60.000000","3","2","89001","0","/Game/UI/Textures/Icons/icon_roasted_hunk-o-meat.icon_roasted_hunk-o-meat","None","False","13003","1","0","0","0","0","0","0","13503","1","0","0","0","False","True"
13540,"NSLOCTEXT("""", ""5ACCC60B4AAC1AD9DC1C8BA7F9EF95F2"", ""Gruel"")","NSLOCTEXT("""", ""9232C48F4021156299A2CBB7BFB7EF41"", ""A thin, foul-smelling gruel"")","NSLOCTEXT("""", ""0EBC69204FFAB8533F23FDBDD97DEA71"", ""Made from plant seeds that have been ground into a paste and mixed with water, this thin and watery gruel is probably not enough to sustain an active adventurer. For slaves, however, it serves."")","Consumable","30.000000","2","4","89001","0","/Game/UI/Textures/Icons/icon_gruel.icon_gruel","None","False","12001","5","13015","1","0","0","0","0","13540","10","0","0","0","False","True"
13550,"NSLOCTEXT("""", ""D833749448042782718F2B9FBBE4DA53"", ""Devil\'s Bonemeal"")","NSLOCTEXT("""", ""3E30C94545832FE1583E6ABC466EDA92"", ""The crushed bones and marrow of an otherworldly creature."")","NSLOCTEXT("""", ""A6713809411EB75B6F7F9086B6752A08"", ""Taken from a dark creature summoned from the outer void, this ground up hunk of disgusting matter glows with an otherworldy energy.\nIt\'s probably useful for something, but eating it should be a last resort."")","Consumable","120.000000","4","5","89001","0","/Game/UI/Textures/Icons/icon_devil_s_bonemeal.icon_devil_s_bonemeal","None","False","15501","1","15502","1","13052","1","14171","1","13550","1","0","0","0","False","True"
